config,hidden_dims,activation,optimizer,lr,best_test_acc,final_test_acc,final_train_loss
512x256x128_gelu_adam_lr0.001,"[512, 256, 128]",gelu,adam,0.001,0.9826,0.9814,0.021667001707347422
512x256x128_relu_adam_lr0.001,"[512, 256, 128]",relu,adam,0.001,0.9823,0.9823,0.02327540290375085
256x128_gelu_adam_lr0.001,"[256, 128]",gelu,adam,0.001,0.9816,0.9774,0.021152483900320172
256_gelu_adam_lr0.001,[256],gelu,adam,0.001,0.9803,0.98,0.015050949808745644
512x256x128_sigmoid_adam_lr0.001,"[512, 256, 128]",sigmoid,adam,0.001,0.9797,0.9709,0.019733145656312505
256x128_relu_adam_lr0.001,"[256, 128]",relu,adam,0.001,0.9795,0.9792,0.019058055271425595
256_relu_adam_lr0.001,[256],relu,adam,0.001,0.9794,0.9766,0.01693611116195874
256_sigmoid_adam_lr0.001,[256],sigmoid,adam,0.001,0.9794,0.9792,0.014824759357857207
256x128_sigmoid_adam_lr0.001,"[256, 128]",sigmoid,adam,0.001,0.9779,0.9755,0.011695674169424455
512x256x128_relu_sgd_lr0.01,"[512, 256, 128]",relu,sgd,0.01,0.9688,0.9688,0.09048145472407342
512x256x128_gelu_sgd_lr0.01,"[512, 256, 128]",gelu,sgd,0.01,0.9685,0.9685,0.09716022908687591
256x128_gelu_sgd_lr0.01,"[256, 128]",gelu,sgd,0.01,0.9679,0.9679,0.10239080939789613
256x128_relu_sgd_lr0.01,"[256, 128]",relu,sgd,0.01,0.9676,0.9676,0.10488564892013867
512x256x128_relu_adam_lr0.01,"[512, 256, 128]",relu,adam,0.01,0.9657,0.9656,0.1318992861310641
256_relu_sgd_lr0.01,[256],relu,sgd,0.01,0.9652,0.9652,0.12126737500826518
256_gelu_sgd_lr0.01,[256],gelu,sgd,0.01,0.9649,0.9649,0.11596471462448438
256x128_gelu_adam_lr0.01,"[256, 128]",gelu,adam,0.01,0.9646,0.9589,0.13902838752008975
256x128_relu_adam_lr0.01,"[256, 128]",relu,adam,0.01,0.9631,0.9595,0.11635615116540964
512x256x128_gelu_adam_lr0.01,"[512, 256, 128]",gelu,adam,0.01,0.9614,0.9611,0.15366382721178234
256_gelu_adam_lr0.01,[256],gelu,adam,0.01,0.9582,0.9582,0.14931833138360331
256x128_sigmoid_adam_lr0.01,"[256, 128]",sigmoid,adam,0.01,0.9573,0.9541,0.13465498118301233
256_sigmoid_adam_lr0.01,[256],sigmoid,adam,0.01,0.9572,0.954,0.1441677633335193
256_relu_adam_lr0.01,[256],relu,adam,0.01,0.9564,0.9464,0.15602278140764683
512x256x128_sigmoid_adam_lr0.01,"[512, 256, 128]",sigmoid,adam,0.01,0.9506,0.9436,0.19850769863526027
256_sigmoid_sgd_lr0.01,[256],sigmoid,sgd,0.01,0.9221,0.9221,0.28775419398943586
256_gelu_sgd_lr0.001,[256],gelu,sgd,0.001,0.9118,0.9118,0.33176560168266295
256_relu_sgd_lr0.001,[256],relu,sgd,0.001,0.9117,0.9117,0.3319458285490672
256x128_relu_sgd_lr0.001,"[256, 128]",relu,sgd,0.001,0.9066,0.9066,0.3510466125647227
256x128_gelu_sgd_lr0.001,"[256, 128]",gelu,sgd,0.001,0.9055,0.9055,0.3465985462586085
512x256x128_relu_sgd_lr0.001,"[512, 256, 128]",relu,sgd,0.001,0.8962,0.8962,0.3919925652503967
256x128_sigmoid_sgd_lr0.01,"[256, 128]",sigmoid,sgd,0.01,0.8903,0.8903,0.42620990680058796
512x256x128_gelu_sgd_lr0.001,"[512, 256, 128]",gelu,sgd,0.001,0.8844,0.8844,0.4528298788070679
256_sigmoid_sgd_lr0.001,[256],sigmoid,sgd,0.001,0.8532,0.8532,0.7565075570424398
512x256x128_sigmoid_sgd_lr0.01,"[512, 256, 128]",sigmoid,sgd,0.01,0.4211,0.4211,1.8729714246114095
256x128_sigmoid_sgd_lr0.001,"[256, 128]",sigmoid,sgd,0.001,0.3833,0.3833,2.224034454981486
512x256x128_sigmoid_sgd_lr0.001,"[512, 256, 128]",sigmoid,sgd,0.001,0.1135,0.1135,2.2996719347635906
